,YA 1,YA 2,YF 1,YF 2,PE 1 ,PE 2,OA 1,OA 2,OF 1,OF 2,OT 1,OT 2
basket_type_Small Shop_sum,1.070201,-2.236613,-0.731941,2.476273,1.057904,-2.20363,0.938423,-2.185328,-1.617018,1.317988,-0.682045,2.459226
basket_size_S_sum,0.905151,-1.919316,-0.605376,2.039371,0.875769,-1.844078,0.719904,-1.688106,-1.271603,1.030026,-0.749465,2.343118
basket_size_M_sum,0.587524,-1.219238,-0.467812,1.611246,0.760696,-1.542094,0.704132,-1.680608,-1.221748,1.020027,-0.271306,1.446056
basket_dominant_mission_Grocery_sum,0.412918,-0.827054,-0.295094,0.860643,0.387893,-0.784276,0.390216,-0.886469,-0.567558,0.337143,-0.271317,0.752273
basket_size_S_max,0.374883,-0.591485,-0.005454,0.191894,0.570579,-1.104105,0.074229,0.034198,0.144331,0.07267,-0.213218,1.618175
basket_type_Small Shop_max,0.311786,-0.319407,-0.062699,0.453961,0.293928,-0.40308,-0.026959,0.414887,0.081711,0.25919,0.035683,1.360358
basket_dominant_mission_Nonfood_sum,0.301957,-0.617506,-0.286724,0.968565,0.378245,-0.790111,0.326248,-0.75686,-0.466088,0.384458,-0.333496,1.166932
basket_dominant_mission_Nonfood_max,0.268031,-0.486616,0.077966,-0.176333,0.318818,-0.624009,0.039182,-0.008926,-0.017103,0.086008,-0.170119,1.147579
basket_size_M_max,0.217526,-0.099704,-0.045029,0.349217,0.219039,-0.169916,0.041916,0.182313,-0.118912,0.336779,0.059849,1.26411
basket_price_sensitivity_LA_max,0.184682,-0.212916,0.002333,0.157953,0.144947,-0.270874,-0.039598,0.258937,0.314455,-0.157366,-0.026704,1.008975
basket_dominant_mission_Grocery_max,0.183585,-0.188548,0.083021,-0.192855,0.150938,-0.17551,-0.045766,0.317679,0.225477,-0.078743,-0.011769,1.156168
basket_price_sensitivity_MM_max,0.177948,-0.182298,-0.076652,0.246397,0.10883,0.104488,0.011198,0.315163,-0.021614,0.210953,0.168152,0.650684
basket_size_L_count,0.160002,-0.291115,0.256351,-0.793999,0.148026,-0.266559,-0.026297,0.119979,-0.318868,0.28086,0.102605,0.338847
basket_dominant_mission_Fresh_sum,0.157491,-0.341911,-0.072776,0.34924,0.014905,-0.061455,-0.118187,0.159375,-0.246931,0.298007,0.04416,0.055928
basket_dominant_mission_Fresh_max,0.146031,-0.023799,0.096166,0.08403,0.071079,0.040154,-0.110773,0.265789,0.081711,0.25919,0.18903,0.77463
basket_price_sensitivity_MM_sum,0.100668,-0.280948,-0.023545,-0.028609,-0.219305,0.527999,0.004292,0.065189,-0.290852,0.228224,-0.064927,0.061682
basket_price_sensitivity_UM_max,0.087078,-0.042487,0.19401,-0.505667,0.088797,0.014982,-0.048024,0.167297,-0.399955,0.430678,0.120501,0.717229
basket_price_sensitivity_LA_sum,0.034038,-0.001987,0.08119,-0.21681,0.288528,-0.751913,0.041594,-0.042241,0.59949,-0.492393,-0.173423,0.314063
cust_price_sensitivity_MM_max,0.025812,-0.068537,0.12465,-0.450718,-0.269727,0.597402,0.040127,-0.080534,-0.383502,0.326164,-0.024088,0.091109
cust_price_sensitivity_LA_max,-0.005201,0.048298,0.06259,-0.175654,0.351355,-0.774055,-0.075564,0.216423,0.529331,-0.448692,-0.141354,0.266462
shop_diff_max,-0.014865,0.03334,-0.322459,1.05146,-0.031005,0.067599,0.28636,-0.702198,-0.080249,0.060608,-0.02987,0.061665
cust_price_sensitivity_UM_max,-0.022123,0.029541,-0.223065,0.748441,-0.050659,0.108238,0.025544,-0.108322,-0.214395,0.180221,0.153288,-0.337851
shop_diff_mean,-0.087629,0.196544,-0.156917,0.511669,-0.174305,0.380027,0.264419,-0.648395,-0.232315,0.175454,0.226456,-0.46751
shop_diff_min,-0.091927,0.206184,-0.068304,0.222721,-0.134423,0.293073,0.140219,-0.343838,-0.183006,0.138214,0.220435,-0.45508
basket_type_Top Up_max,-0.099149,0.353444,0.204244,-0.555988,-0.157794,0.333603,-0.149259,0.358134,0.298246,-0.067883,0.292272,0.05081
basket_price_sensitivity_UM_sum,-0.116578,0.241152,-0.070104,0.275388,-0.103802,0.307296,-0.039346,-0.015537,-0.510026,0.431296,0.23851,-0.374429
basket_dominant_mission_Mixed_max,-0.144216,0.46899,0.189045,-0.501063,-0.103831,0.390612,-0.052814,0.42094,0.298246,-0.067883,0.199845,0.556258
basket_size_L_max,-0.309806,0.715871,0.24018,-0.79034,-0.387512,0.825521,-0.28107,0.727003,0.345494,-0.268081,0.424689,-0.962682
sum_spend_max,-0.531233,1.189387,0.485539,-1.544293,-0.48924,1.097223,-0.668797,1.674425,0.833589,-0.568174,0.408201,-0.627716
basket_type_Full Shop_max,-0.587198,1.366078,0.50801,-1.616467,-0.847259,1.904192,-0.659627,1.690516,0.69053,-0.49046,0.612525,-0.833645
basket_dominant_mission_Mixed_sum,-0.654233,1.34777,0.442382,-1.500538,-0.542278,1.147639,-0.376226,1.016122,1.038097,-0.845267,0.241772,-0.917119
basket_type_Top Up_sum,-0.76275,1.585873,0.313796,-1.063684,-0.840382,1.693,-0.674917,1.486351,0.66253,-0.546394,0.40958,-1.540811
std_quantity_mean,-0.769398,1.654857,0.433841,-1.429652,-0.602425,1.300337,-0.712509,1.763307,1.0294,-0.876793,0.547807,-1.455844
sum_spend_mean,-0.784871,1.526243,0.591629,-1.961585,-0.850873,1.770614,-0.88706,2.068211,1.430718,-1.067256,0.460847,-1.748405
basket_type_Full Shop_sum,-0.786842,1.655147,0.530671,-1.793531,-0.705527,1.566729,-0.666806,1.669089,1.262065,-1.023218,0.355174,-1.209355
n_products_mean,-0.955402,1.977021,0.612503,-2.026383,-0.956242,1.972033,-0.916885,2.191241,1.548983,-1.2072,0.518312,-1.788253
nunique_products_mean,-0.984171,2.074615,0.61928,-2.058471,-1.019772,2.085097,-0.898004,2.105934,1.52273,-1.197601,0.503357,-1.925341
basket_size_L_sum,-1.081351,2.274734,0.699185,-2.380111,-1.100299,2.275384,-0.967557,2.288325,1.638069,-1.34754,0.613751,-2.317896
